Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),EQE
Ba2Y3Si3O12FEu0.005,21.005,12,0.005,11.995,189,63,8,55,441.279243163,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156000000003,376.315,117,0.315,116.685,837.3727431629999,274.654,0.75982,273.89418,2070.925,720,0.925,719.075,56.4,41.28,0,41.28,104.01,72,0.01,71.99,234.39797692500002,163.416648,0.028351925,163.388296075,298,350,5.3
SrBi1.4TeO7Eu0.3,10.700000000000001,7,0.3,6.7,244,83,8,75,592.1634000000001,208.9804,15.999,192.9814,745,200,60,140,8.389999999999999,3.44,0,3.44,21,6,2,4,41.2784822,13.618054,5.670385,7.947669000000001,281.09999999999997,116.19999999999999,18.9,97.29999999999998,665.37476,292.57256,45.5892,246.98336,1039.5,420,55.5,364.5,29.79,24.08,0,24.08,57.6,42,0.6,41.4,121.9317431,95.326378,1.7011154999999998,93.6252625,298,465,5.4
Lu3Al4.994O12Mn0.003Mg0.003,20,12,0.003,11.997,129,71,8,63,297.1903825,174.9668,15.999,158.9678,650,175,60,115,8.91,3.44,1,2.44,20,7,2,5,40.1099464,13.618054,5.425871,8.192183,374.033,213,0.036000000000000004,212.964,851.8719324009999,524.9004,0.07291500000000001,524.827485,1870.1200000000001,720,0.42,719.58,52.32892,41.28,0.00393,41.276070000000004,93.009,72,0.006,71.994,209.6324291486,163.416648,0.022302054,163.39434594600002,298,465,5.56
Y2O3Eu0.05,5.05,3,0.05,2.95,110,63,8,55,256.86884,151.964,15.999,135.965,425,185,60,125,4.66,3.44,0,3.44,11,6,2,4,25.505699,13.618054,5.670385,7.947669000000001,105.15,78,3.1500000000000004,74.85,233.40687999999997,177.81168,7.5982,170.21348,549.25,360,9.25,350.75,12.76,10.32,0,10.32,24.1,18,0.1,17.9,53.57220125,40.854162,0.28351925,40.570642750000005,298,466,5.8
Ce2AlO3NDy0.03Eu0.006,7.0360000000000005,3,0.006,2.994,215,66,7,59,511.5675385,162.5,14.007,148.493,795,185,60,125,10.430000000000001,3.44,0,3.44,20,6,2,4,51.285987399999996,14.53413,5.5386,8.995529999999999,162.35799999999998,116,0.378,115.622,375.00432250000006,280.232,0.911784,279.320216,746.36,370,1.11,368.89,17.2466,10.32,0,10.32,30.072,18,0.012,17.988,72.66345421000001,40.854162,0.03402231,40.820139690000005,298,360,6
Ca2.91Mo0.2W0.8O6Eu0.09,10,6,0.09,5.91,207,74,8,66,487.8310000000001,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669000000001,179.47,59.2,5.67,53.53,392.5597400000001,147.072,13.67676,133.39524,1037.45,523.8000000000001,16.65,507.1500000000001,25.342,20.64,0,20.64,48,36,0.18,35.82,107.71765028200001,81.708324,0.5103346499999999,81.19798935,298,393,6.2
Sr2VO4Cl,8,4,1,3,86,38,8,30,190.01049999999998,87.62,15.999,71.62100000000001,495,200,60,140,9.18,3.44,0.95,2.49,20,7,2,5,39.0267382,13.618054,5.6948672,7.923186800000001,148,76,17,59,325.6275,175.24,35.45,139.79000000000002,875,400,100,300,20.45,13.76,1.63,12.129999999999999,40,24,4,20,85.5757674,54.472216,6.746187,47.726029000000004,298,293,7.1
Ca2.91Mo0.2W0.8O6Eu0.09,10,6,0.09,5.91,207,74,8,66,487.8310000000001,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669000000001,179.47,59.2,5.67,53.53,392.5597400000001,147.072,13.67676,133.39524,1037.45,523.8000000000001,16.65,507.1500000000001,25.342,20.64,0,20.64,48,36,0.18,35.82,107.71765028200001,81.708324,0.5103346499999999,81.19798935,298,365,8.7
NaBa4Al2B8O18Cl3Ce0.09,36.09,18,0.09,17.91,168,58,5,53,389.67330777999996,140.116,10.81,129.306,950,215,60,155,13.190000000000001,3.44,0.89,2.55,24,7,1,6,56.7588121,13.618054,5.1390767,8.4789773,501.22,224,5.22,218.78,1119.68328628,549.308,12.61044,536.69756,3366.65,1080,16.65,1063.35,95.53080000000001,61.92,0.1008,61.8192,168.18,108,0.18,107.82,388.8677575,245.124972,0.498474,244.62649800000003,298,323,9.82
Na3Lu0.8P2O8Eu0.2,14,8,0.2,7.8,168,71,8,63,396.893331278,174.9668,15.999,158.9678,700,185,60,125,7.5600000000000005,3.44,0,3.44,16,6,1,5,40.34007270000001,13.618054,5.1390767,8.4789773,196.4,64,12.600000000000001,51.4,429.27507183600005,139.97344,30.3928,109.58064000000002,1397,540,37,503,35.49,27.52,0,27.52,63,48,0.4,47.6,150.8098079,108.944432,1.134077,107.810355,298,393,11
K2BiPO8MoSm0.1,13.1,8,0.1,7.9,229,83,8,75,541.3614619980001,208.9804,15.999,192.9814,870,220,60,160,11.68,3.44,0.82,2.62,25,6,1,5,48.46705954,13.618054,4.34066354,9.27739046,248.2,83,6.2,76.8,557.1287619980001,208.9804,15.036000000000001,193.9444,1343.5,480,18.5,461.5,35.526999999999994,27.52,0.11699999999999999,27.403,66.2,48,0.2,47.8,143.05476208000002,108.944432,0.564371,108.38006100000001,298,404,12
Ca2Y0.6TaO6Eu0.4,10,6,0.4,5.6,203,73,8,65,477.89472,180.94788,15.999,164.94888,750,185,60,125,7.16,3.44,0,3.44,18,6,2,4,39.168424200000004,13.618054,5.670385,7.947669000000001,209.60000000000002,73,23.4,49.6,471.22698399999996,180.94788,53.343503999999996,127.604376,1047,360,74,286,24.872,20.64,0,20.64,47.599999999999994,36,0.8,35.2,107.4827144,81.708324,2.268154,79.44017000000001,298,395,12.4
RbNa3Li12Si4O16Eu0.03,36.03,16,0.03,15.97,136,63,3,60,311.44556928,151.964,6.94,145.024,915,235,60,175,8.07,3.44,0,3.44,15,6,1,5,42.148041461000005,13.618054,4.177128,9.440926000000001,291.89,128,1.89,126.11,610.6000278399999,255.984,4.55892,251.42508,3920.55,1740,5.55,1734.45,78.00999999999999,55.04,0,55.04,128.06,96,0.06,95.94,334.96064278200004,217.888864,0.17011154999999997,217.71875245,298,400,13
Na3Lu0.6P2O8Eu0.4,14,8,0.4,7.6,168,71,8,63,396.893331278,174.9668,15.999,158.9678,700,185,60,125,7.5600000000000005,3.44,0,3.44,16,6,1,5,40.34007270000001,13.618054,5.1390767,8.4789773,194.8,64,25.200000000000003,38.8,424.67451183599997,127.992,60.7856,67.2064,1399,540,74,466,35.29,27.52,0,27.52,63,48,0.8,47.2,150.85871070000002,108.944432,2.268154,106.67627800000001,298,393,14
Li2MgTi0.999O4Mn0.001,8,4,0.001,3.999,70,25,3,22,150.04904399999998,54.938044,6.94,47.998044,635,150,60,90,8.82,3.44,0.98,2.46,20,7,1,6,40.918141761,13.618054,5.391714761,8.226339239000001,72.00300000000001,32,0.025,31.975,150.05507104400002,63.996,0.054938044,63.941061956000006,820,290,0.14,289.86,18.570010000000003,13.76,0.0015500000000000002,13.75845,32.003,24,0.007,23.993,79.73060642,54.472216,0.007434018000000001,54.464781982000005,298,476,15
Ca13.9Zn6Ga10O35Dy0.1Mn0.15,65.15,35,0.1,34.9,180,66,8,58,408.61804399999994,162.5,15.999,146.501,820,180,60,120,10.670000000000002,3.44,1,2.44,32,12,2,10,48.497778000000004,13.618054,5.93905,7.679004000000001,1058.35,310,3.75,306.25,2231.0499066,697.23,8.2407066,688.9892934000001,6750.5,2502,17.5,2484.5,162.65449999999998,120.39999999999999,0.122,120.27799999999999,341.05,210,0.2,209.8,679.6719669799999,476.63189,0.593905,476.037985,298,266,15.6
CaMg2Al16O27Mn0.08,46.08,27,0.08,26.92,78,25,8,17,162.3015825,54.938044,15.999,38.939043999999996,655,180,60,120,8.91,3.44,1,2.44,20,7,2,5,40.7972306,13.618054,5.9857684,7.6322856,470,216,2,214,956.76065952,431.973,4.39504352,427.57795648,4111.2,2000,11.200000000000001,1988.8,122.38399999999999,92.88,0.12400000000000001,92.756,216.56,162,0.56,161.44,485.46009904,367.687458,0.59472144,367.09273656,298,468,16
Ba2V2O7,11,7,2,5,87,56,8,48,204.26749999999998,137.327,15.999,121.328,410,215,60,155,5.96,3.44,0.89,2.55,13,6,2,4,25.575905,13.618054,5.211664,8.406390000000002,214,112,46,66,488.53,274.654,101.883,172.77100000000002,1120,430,270,160,29.119999999999997,24.08,1.78,22.299999999999997,56,42,4,38,119.24208,95.326378,10.423328,84.90305000000001,298,336,16
Sr1.576Ca0.394Sb2O7Bi0.03,11,7,0.03,6.97,200,83,8,75,474.4374,208.9804,15.999,192.9814,745,200,60,140,9.34,3.44,0.95,2.49,20,6,2,4,41.3199814,13.618054,5.6948672,7.923186800000001,228.258,102,2.4899999999999998,99.51,515.662264,243.52,6.269412,237.25058800000002,1100.9199999999998,420,4.8,415.2,30.128199999999996,24.08,0.056999999999999995,24.023,56.089999999999996,42,0.15,41.85,124.145415336,95.326378,0.21856548,95.10781252000001,298,372,16.13
Sr1.182Ca0.788Sb2O7Bi0.03,10.999999999999998,7,0.03,6.97,200,83,8,75,474.4374,208.9804,15.999,192.9814,745,200,60,140,9.34,3.44,0.95,2.49,20,6,2,4,41.3199814,13.618054,5.6948672,7.923186800000001,221.166,102,2.4899999999999998,99.51,496.930716,243.52,6.269412,237.25058800000002,1093.04,420,4.8,415.2,30.147899999999996,24.08,0.056999999999999995,24.023,56.089999999999996,42,0.15,41.85,124.310220808,95.326378,0.21856548,95.10781252000001,298,372,16.13
Ca2La0.6SbO6Eu0.4,10,6,0.4,5.6,199,63,8,55,468.70647,151.964,15.999,135.965,765,195,60,135,7.59,3.44,0,3.44,18,6,2,4,39.5868832,13.618054,5.5769,8.041154,198.39999999999998,51,25.200000000000003,25.799999999999997,442.038882,121.76,60.7856,60.9744,1056,360,74,286,25.35,20.64,0,20.64,47.599999999999994,36,0.8,35.2,108.1573174,81.708324,2.268154,79.44017000000001,298,465,16.6
Ce2AlO3NDy0.03Eu0.02,7.05,3,0.02,2.98,215,66,7,59,511.5675385,162.5,14.007,148.493,795,185,60,125,10.430000000000001,3.44,0,3.44,20,6,2,4,51.285987399999996,14.53413,5.5386,8.995529999999999,163.23999999999998,116,1.26,114.74,377.13181850000007,280.232,3.03928,277.19272,748.95,370,3.7,366.3,17.2466,10.32,0,10.32,30.099999999999998,18,0.04,17.96,72.74283960000001,40.854162,0.1134077,40.7407543,298,360,17
Ca3Gd0.5Al3O15B4Eu0.5,26,15,0.5,14.5,173,64,5,59,403.0825385,157.25,10.81,146.44,815,185,60,125,9.29,3.44,0,3.44,18,6,2,4,45.835177599999994,13.618054,5.670385,7.947669000000001,302.5,120,20,100,639.0106155,239.985,43.24,196.745,2337.5,900,90,810,68.19,51.6,0,51.6,119,90,1,89,279.6697473,204.27081,2.8351925,201.4356175,298,397,17.7
Cs2SiF6Mn0.1075,9.1075,6,0.1075,5.8925,103,55,9,46,234.926899123,132.90545196,18.998403163,113.90704879699999,560,260,50,210,8.22,3.98,0.79,3.19,19,7,1,6,36.902426548,17.42282,3.893905548,13.528914452000002,180.6875,110,2.6875,107.3125,413.79216262799997,265.81090392,5.905839729999999,259.90506418999996,945.05,520,15.049999999999999,504.95,27.526625,23.88,0.166625,23.713375,48.7525,42,0.7525,41.2475,121.27557103100001,104.53692000000001,0.799156935,103.73776306500001,523,460,17.81
Ca3.96Si2O7F2Eu0.04,15,7,0.04,6.96,114,63,8,55,255.124403163,151.964,15.999,135.965,585,185,50,135,10.32,3.98,0,3.98,21,7,2,5,50.9760972,17.42282,5.670385,11.752435000000002,183.72,79.2,2.52,76.68,370.947246326,158.70888000000002,6.07856,152.63032,1460.2,712.8,7.4,705.4,39.8,24.08,0,24.08,72,42,0.08,41.92,170.910293992,95.326378,0.2268154,95.0995626,298,400,17.9
NaBa4Al2B8O18Cl3Ce0.09Tb0.01,36.1,18,0.01,17.99,233,65,5,60,548.5986577799999,158.92535,10.81,148.11535,1125,215,60,155,13.190000000000001,3.44,0,3.44,26,7,1,6,62.6226121,13.618054,5.1390767,8.4789773,501.87,224,0.65,223.35,1121.27253978,549.308,1.5892535,547.7187465,3368.4,1080,1.75,1078.25,95.53080000000001,61.92,0,61.92,168.20000000000002,108,0.02,107.98,388.92639549999996,245.124972,0.058638,245.066334,298,323,18.25
KMg4P3O12Eu0.02,20.02,12,0.02,11.98,117,63,8,55,262.340061998,151.964,15.999,135.965,715,220,60,160,7.76,3.44,0,3.44,16,6,1,5,41.76202354,13.618054,4.34066354,9.27739046,209.26,96,1.26,94.74,424.266865994,191.988,3.03928,188.94872,1843.7,720,3.7,716.3,53.910000000000004,41.28,0,41.28,96.04,72,0.04,71.96,229.91571724000002,163.416648,0.1134077,163.3032403,298,365,18.6
Na3Lu0.4P2O8Eu0.6,14,8,0.4,7.6,168,71,8,63,396.893331278,174.9668,15.999,158.9678,700,185,60,125,7.5600000000000005,3.44,0,3.44,16,6,1,5,40.34007270000001,13.618054,5.1390767,8.4789773,193.2,64,28.400000000000002,35.599999999999994,420.073951836,127.992,61.947523996,66.044476004,1401,540,70,470,35.09,27.52,0,27.52,63,48,0.8,47.2,150.9076135,108.944432,2.1703484,106.77408360000001,298,393,19
NaLa0.6MgWO6Eu0.4,10,6,0.4,5.6,225,74,8,66,538.0032392800001,183.84,15.999,167.841,905,195,60,135,8.48,3.44,0,3.44,20,6,1,5,45.5146807,13.618054,5.1390767,8.4789773,204.39999999999998,74,11,63,471.25765128000006,183.84,22.98976928,160.85023072,1016,360,74,286,25.240000000000002,20.64,0,20.64,47.599999999999994,36,0.8,35.2,107.9719597,81.708324,2.268154,79.44017000000001,298,464,19.3
NaBa4Al2B8O18Cl3Ce0.09Tb0.03,36.120000000000005,18,0.03,17.97,233,65,5,60,548.5986577799999,158.92535,10.81,148.11535,1125,215,60,155,13.190000000000001,3.44,0,3.44,26,7,1,6,62.6226121,13.618054,5.1390767,8.4789773,503.17,224,1.95,222.05,1124.4510467799998,549.308,4.7677605000000005,544.5402395,3371.9,1080,5.25,1074.75,95.53080000000001,61.92,0,61.92,168.24,108,0.06,107.94,389.04367149999996,245.124972,0.17591400000000001,244.949058,298,323,19.3
Ca2VO4Cl,8,4,1,3,68,23,8,15,142.4685,50.9415,15.999,34.942499999999995,475,180,60,120,9.23,3.44,1,2.44,20,7,2,5,39.4450262,13.618054,6.1131552,7.504898800000001,112,40,17,23,230.5435,80.156,35.45,44.706,835,360,100,260,20.55,13.76,1.63,12.129999999999999,40,24,4,20,86.4123434,54.472216,6.746187,47.726029000000004,298,287,20
LiScP2O7Cr0.06,11.06,7,0.06,6.94,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,111.44,56,1.44,54.56,228.956197996,111.99300000000001,3.119766,108.87323400000001,933.4,420,8.4,411.6,30.899599999999996,24.08,0.0996,23.9804,56.36,42,0.36,41.64,128.658945361,95.326378,0.4059906,94.92038740000001,298,450,20
NaBa4Al2B8O18Cl3Ce0.09Tb0.05,36.14,18,0.05,17.95,233,65,5,60,548.5986577799999,158.92535,10.81,148.11535,1125,215,60,155,13.190000000000001,3.44,0,3.44,26,7,1,6,62.6226121,13.618054,5.1390767,8.4789773,504.47,224,3.25,220.75,1127.62955378,549.308,7.946267500000001,541.3617325,3375.4,1080,8.75,1071.25,95.53080000000001,61.92,0,61.92,168.28,108,0.1,107.9,389.16094749999996,245.124972,0.29319,244.831782,298,323,20.44
Sr7.92MgScP7O28Eu0.08,45,28,0.08,27.92,157,63,8,55,355.81766999800004,151.964,15.999,135.965,855,200,60,140,9.25,3.44,0,3.44,20,6,2,4,49.677717200000004,13.618054,5.670385,7.947669000000001,668,300.96,5.04,295.91999999999996,1440.1567619860002,693.9504000000001,12.15712,681.7932800000001,4288.8,1680,14.8,1665.2,121.844,96.32,0,96.32,224,168,0.16,167.84,514.4770180240001,381.305512,0.4536308,380.85188120000004,298,400,20.8
KCaYP2O8Eu0.01,13.01,8,0.01,7.99,164,63,8,55,367.01890199799993,151.964,15.999,135.965,925,220,60,160,8.67,3.44,0,3.44,19,6,1,5,46.44620374,13.618054,4.34066354,9.27739046,172.63,64,0.63,63.37,359.54130399599995,127.992,1.51964,126.47236000000001,1261.85,480,1.85,478.15,34.94,27.52,0,27.52,64.02,48,0.02,47.98,146.64558659,108.944432,0.05670385,108.88772815,298,380,21.4
Ca5P3O12FEu0.025,21.025,12,0.025,11.975,115,63,8,55,258.01316516099996,151.964,15.999,135.965,575,185,50,135,10.61,3.98,0,3.98,22,7,2,5,53.3111002,17.42282,5.670385,11.752435000000002,251.575,100,1.5750000000000002,98.425,508.096789157,200.39000000000001,3.7991,196.5909,1974.625,900,4.625,895.375,56.83,41.28,0,41.28,104.05,72,0.05,71.95,243.007061625,163.416648,0.141759625,163.27488837500002,298,335,21.7
Sr1.773Ca0.197Sb2O7Bi0.03,10.999999999999998,7,0.03,6.97,200,83,8,75,474.4374,208.9804,15.999,192.9814,745,200,60,140,9.34,3.44,0.95,2.49,20,6,2,4,41.3199814,13.618054,5.6948672,7.923186800000001,231.804,102,2.4899999999999998,99.51,525.028038,243.52,6.269412,237.25058800000002,1104.86,420,4.8,415.2,30.118349999999996,24.08,0.056999999999999995,24.023,56.089999999999996,42,0.15,41.85,124.06301260000001,95.326378,0.21856548,95.10781252000001,298,372,21.71
BaLu0.99Al2Si2O2N5Ce0.01,13,5,0.01,4.99,227,71,7,64,537.4823385000001,174.9668,14.007,160.9598,935,215,60,155,13,3.44,0.89,2.55,24,6,2,4,58.465770400000004,14.53413,5.211664,9.322465999999999,231.87000000000003,70.29,0.58,69.71000000000001,524.111369,173.217132,1.4011600000000002,171.815972,1305.1,325,1.85,323.15,30.991199999999996,15.2,0.011200000000000002,15.188799999999999,55.00000000000001,25,0.02,24.98,138.82032309,72.67065,0.055386,72.615264,298,350,22.3
Na3Lu0.2P2O8Eu0.8,14,8,0.2,7.8,168,71,8,63,396.893331278,174.9668,15.999,158.9678,700,185,60,125,7.5600000000000005,3.44,0,3.44,16,6,1,5,40.34007270000001,13.618054,5.1390767,8.4789773,191.6,64,14.200000000000001,49.8,415.473391836,127.992,34.99336,92.99864,1403,540,35,505,34.89,27.52,0,27.52,63,48,0.4,47.6,150.9565163,108.944432,1.0851742,107.85925780000001,298,393,23
Sr0.99LuAl2Si2O2N5Eu0.01,13,5,0.01,4.99,214,71,7,64,499.62333850000005,174.9668,14.007,160.9598,920,200,60,140,11.940000000000001,3.44,0,3.44,24,6,2,4,59.080758599999996,14.53413,5.425871,9.108259,214.25,71,0.63,70.37,475.39631699999995,174.9668,1.51964,173.44716,1289.85,325,1.85,323.15,31.040499999999998,15.2,0,15.2,55.00000000000001,25,0.02,24.98,139.302154178,72.67065,0.05670385,72.61394614999999,298,365,23.7
Ba0.98La2Si2S8Eu0.02,13,8,0.02,7.98,206,63,14,49,488.34147,151.964,28.085,123.87899999999999,805,215,100,115,6.470000000000001,2.58,0,2.58,17,6,2,4,34.970642,10.36001,5.211664,5.148346000000001,326.14,128,1.26,126.74,728.08068,277.81094,3.03928,274.77166,1624.4,800,3.7,796.3,27.5122,20.64,0,20.64,64,48,0.04,47.96,115.55808442,82.88008,0.1134077,82.76667230000001,298,405,23.73
Sr1.97Sb2O7Bi0.03,10.999999999999998,7,0.03,6.97,180,83,8,75,434.3594,208.9804,15.999,192.9814,565,200,60,140,8.34,3.44,0.95,2.49,18,6,2,4,35.2068262,13.618054,5.6948672,7.923186800000001,235.35000000000002,102,2.4899999999999998,99.51,534.393812,243.52,6.269412,237.25058800000002,1108.8,420,4.8,415.2,30.108499999999996,24.08,0.056999999999999995,24.023,56.089999999999996,42,0.15,41.85,123.980609864,95.326378,0.21856548,95.10781252000001,298,372,23.74
LiScP2O7Cr0.06Yb0.003,11.063,7,0.003,6.997,141,70,3,67,323.909769998,173.045,6.94,166.105,780,175,60,115,9.629999999999999,3.44,0,3.44,23,6,1,5,49.078614761,13.618054,5.391714761,8.226339239000001,111.64999999999999,56,0.21,55.79,229.475332996,111.99300000000001,0.519135,111.473865,933.925,420,0.525,419.475,30.899599999999996,24.08,0,24.08,56.366,42,0.006,41.994,128.677707841,95.326378,0.018762479999999998,95.30761552,298,450,24
